"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andhra Pradesh","East Godavari","2019-04-12","2019","04","1.409785442","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-13","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-14","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-15","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-16","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-17","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-18","2019","04","0.475338349","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-19","2019","04","0.19947366","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-20","2019","04","2.755685117","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-21","2019","04","6.900253053","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-22","2019","04","5.235466962","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-24","2019","04","0.28898046","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-23","2019","04","2.54440522","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-25","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-26","2019","04","0.844908519","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-27","2019","04","0.232518414","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-28","2019","04","0.001870115","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-29","2019","04","0.385663601","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2019-04-30","2019","04","0.007920755","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-01","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-02","2019","04","0.061727971","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-03","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-04","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-05","2019","04","0.113123036","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-06","2019","04","0.055514754","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-07","2019","04","4.444584922","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-08","2019","04","0.572336234","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-09","2019","04","1.442652951","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-10","2019","04","2.492347152","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-11","2019","04","2.576147848","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-12","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-13","2019","04","0.94117278","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-14","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-15","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-16","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-17","2019","04","0.027620054","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-18","2019","04","2.766226159","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-19","2019","04","7.487972884","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-20","2019","04","0.844406723","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-21","2019","04","0.304913998","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-22","2019","04","1.852580157","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-23","2019","04","0.947103577","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-24","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-25","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-26","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-27","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-28","2019","04","NA","NRSC VIC MODEL"
